 
  >> Using map h1_nh_HI4PI.fits
 
 LII , BII   8.860643   49.256719
 Requested position at X and Y pixel  1869.69   1547.38
  WARNING:  Input size  1.00 < distance  2.500
  Set size == distance
 
 Search nH in 30 X 30 pixels box
 Each pixel is  0.083 deg 0.083 deg
 
     RA       DEC      Dist(deg)        nH
  231.3500   6.2855   1.6510    3.01E+20
  231.3061   6.2231   1.6065    2.98E+20
  231.2621   6.1607   1.5644    2.98E+20
  231.2181   6.0984   1.5248    2.99E+20
  231.1739   6.0361   1.4880    3.02E+20
  231.1297   5.9739   1.4542    3.06E+20
  231.0855   5.9118   1.4236    3.11E+20
  231.0411   5.8497   1.3964    3.16E+20
  230.9967   5.7877   1.3727    3.21E+20
  230.9522   5.7257   1.3529    3.24E+20
  230.9076   5.6637   1.3370    3.24E+20
  230.8629   5.6019   1.3252    3.21E+20
  230.8182   5.5401   1.3177    3.16E+20
  230.7734   5.4783   1.3144    3.13E+20
  230.7286   5.4166   1.3154    3.11E+20
  230.6836   5.3550   1.3208    3.13E+20
  230.6386   5.2934   1.3303    3.20E+20
  230.5935   5.2319   1.3441    3.29E+20
  230.5483   5.1704   1.3618    3.38E+20
  230.5031   5.1090   1.3835    3.45E+20
  230.4578   5.0476   1.4088    3.50E+20
  230.4124   4.9863   1.4377    3.54E+20
  230.3670   4.9251   1.4698    3.57E+20
  230.3214   4.8639   1.5050    3.58E+20
  230.2758   4.8028   1.5431    3.58E+20
  230.2301   4.7418   1.5839    3.60E+20
  230.1844   4.6808   1.6271    3.65E+20
  230.1386   4.6198   1.6726    3.72E+20
  230.0927   4.5589   1.7201    3.78E+20
  230.0467   4.4981   1.7696    3.81E+20
  231.2798   6.3449   1.5844    3.00E+20
  231.2359   6.2824   1.5376    2.96E+20
  231.1920   6.2201   1.4931    2.95E+20
  231.1480   6.1578   1.4512    2.95E+20
  231.1038   6.0955   1.4120    2.96E+20
  231.0597   6.0333   1.3759    3.01E+20
  231.0154   5.9712   1.3430    3.08E+20
  230.9711   5.9091   1.3137    3.15E+20
  230.9267   5.8471   1.2881    3.21E+20
  230.8822   5.7851   1.2665    3.27E+20
  230.8377   5.7232   1.2491    3.29E+20
  230.7930   5.6613   1.2360    3.26E+20
  230.7483   5.5995   1.2274    3.20E+20
  230.7036   5.5378   1.2234    3.14E+20
  230.6587   5.4761   1.2241    3.10E+20
  230.6138   5.4145   1.2294    3.10E+20
  230.5688   5.3529   1.2392    3.14E+20
  230.5238   5.2914   1.2535    3.22E+20
