 
  >> Using map h1_nh_HI4PI.fits
 
 LII , BII 112.685596    0.050659
 Requested position at X and Y pixel   647.60    974.69
  WARNING:  Input size  1.00 < distance  2.500
  Set size == distance
 
 Search nH in 30 X 30 pixels box
 Each pixel is  0.083 deg 0.083 deg
 
     RA       DEC      Dist(deg)        nH
  354.6115  60.5868   1.7503    7.39E+21
  354.4264  60.5600   1.6766    7.51E+21
  354.2416  60.5329   1.6052    7.66E+21
  354.0571  60.5057   1.5363    7.78E+21
  353.8730  60.4781   1.4704    7.86E+21
  353.6893  60.4503   1.4078    7.95E+21
  353.5059  60.4223   1.3490    8.06E+21
  353.3229  60.3940   1.2944    8.15E+21
  353.1402  60.3655   1.2447    8.20E+21
  352.9579  60.3367   1.2003    8.22E+21
  352.7760  60.3077   1.1619    8.23E+21
  352.5945  60.2784   1.1301    8.23E+21
  352.4133  60.2489   1.1054    8.19E+21
  352.2324  60.2192   1.0882    8.07E+21
  352.0520  60.1892   1.0790    7.93E+21
  351.8719  60.1590   1.0778    7.84E+21
  351.6922  60.1285   1.0848    7.78E+21
  351.5129  60.0978   1.0996    7.72E+21
  351.3339  60.0669   1.1220    7.66E+21
  351.1553  60.0357   1.1515    7.65E+21
  350.9771  60.0043   1.1876    7.68E+21
  350.7993  59.9726   1.2297    7.70E+21
  350.6219  59.9407   1.2771    7.70E+21
  350.4448  59.9086   1.3292    7.70E+21
  350.2681  59.8762   1.3856    7.71E+21
  350.0918  59.8437   1.4456    7.69E+21
  349.9159  59.8108   1.5089    7.61E+21
  349.7404  59.7778   1.5750    7.52E+21
  349.5653  59.7445   1.6436    7.45E+21
  349.3906  59.7110   1.7144    7.41E+21
  354.5654  60.6564   1.7065    7.45E+21
  354.3799  60.6296   1.6308    7.59E+21
  354.1947  60.6025   1.5572    7.77E+21
  354.0099  60.5752   1.4860    7.91E+21
  353.8255  60.5476   1.4177    8.00E+21
  353.6414  60.5198   1.3526    8.05E+21
  353.4576  60.4917   1.2913    8.08E+21
  353.2743  60.4634   1.2341    8.10E+21
  353.0912  60.4348   1.1818    8.12E+21
  352.9086  60.4060   1.1349    8.12E+21
  352.7263  60.3769   1.0943    8.12E+21
  352.5444  60.3476   1.0604    8.12E+21
  352.3629  60.3180   1.0340    8.10E+21
  352.1817  60.2882   1.0157    8.01E+21
  352.0009  60.2582   1.0058    7.89E+21
  351.8205  60.2279   1.0047    7.81E+21
  351.6404  60.1974   1.0122    7.74E+21
  351.4607  60.1666   1.0281    7.68E+21
